(-77.0096,38.8699)
(-77.0095,38.8699)
(-77.0094,38.8699)
(-77.0093,38.8699)
(-77.0092,38.8699)
(-77.0091,38.8699)
(-77.009,38.8699)
(-77.0089,38.8699)
(-77.0088,38.8699)
(-77.0087,38.8699)
(-77.0086,38.8699)
(-77.0085,38.8699)
(-77.0084,38.8699)
(-77.0083,38.8699)
(-77.0082,38.8699)
(-77.0081,38.8699)
(-77.008,38.8699)
(-77.0079,38.8699)
(-77.0078,38.8699)
(-77.0077,38.8699)
(-77.0076,38.8699)
(-77.0075,38.8699)
(-77.0074,38.8699)
(-77.0073,38.8699)
(-77.0072,38.8699)
(-77.0071,38.8699)
(-77.007,38.8699)
(-77.0069,38.8699)
(-77.0068,38.8699)
(-77.0067,38.8699)
(-77.0066,38.8699)
(-77.0065,38.8699)
(-77.0064,38.8699)
(-77.0063,38.8699)
(-77.0062,38.8699)
(-77.0061,38.8699)
(-77.006,38.8699)
(-77.0059,38.8699)
(-77.0058,38.8699)
(-77.0057,38.8699)
(-77.0056,38.8699)
(-77.0055,38.8699)
(-77.0054,38.8699)
(-77.0053,38.8699)
(-77.0052,38.8699)
(-77.0051,38.8699)
(-77.005,38.8699)
(-77.0049,38.8699)
(-77.0048,38.8699)
(-77.0047,38.8699)
(-77.0046,38.8699)
(-77.0045,38.8699)
(-77.0044,38.8699)
(-77.0043,38.8699)
(-77.0042,38.8699)
(-77.0041,38.8699)
(-77.004,38.8699)
(-77.0039,38.8699)
(-77.0038,38.8699)
(-77.0037,38.8699)
(-77.0036,38.8699)
(-77.0035,38.8699)
(-77.0034,38.8699)
(-77.0033,38.8699)
(-77.0032,38.8699)
(-77.0031,38.8699)
(-77.003,38.8699)
(-77.0029,38.8699)
(-77.0028,38.8699)
(-77.0027,38.8699)
(-77.0026,38.8699)
(-77.0025,38.8699)
(-77.0024,38.8699)
(-77.0023,38.8699)
(-77.0022,38.8699)
(-77.0021,38.8699)
(-77.002,38.8699)
(-77.0019,38.8699)
(-77.0018,38.8699)
(-77.0017,38.8699)
(-77.0016,38.8699)
(-77.0015,38.8699)
(-77.0014,38.8699)
(-77.0013,38.8699)
(-77.0012,38.8699)
(-77.0011,38.8699)
(-77.001,38.8699)
(-77.0009,38.8699)
(-77.0008,38.8699)
(-77.0007,38.8699)
(-77.0006,38.8699)
(-77.0005,38.8699)
(-77.0004,38.8699)
(-77.0003,38.8699)
(-77.0002,38.8699)
(-77.0001,38.8699)
(-77.0,38.8699)
(-76.9999,38.8699)
(-76.9998,38.8699)
(-76.9997,38.8699)
(-76.9996,38.8699)
(-76.9995,38.8699)
(-76.9994,38.8699)
(-76.9993,38.8699)
(-76.9992,38.8699)
(-76.9991,38.8699)
(-76.999,38.8699)
(-76.999,38.87)
(-76.9991,38.87)
(-76.9992,38.87)
(-76.9993,38.87)
(-76.9994,38.87)
(-76.9995,38.87)
(-76.9996,38.87)
(-76.9997,38.87)
(-76.9998,38.87)
(-76.9999,38.87)
(-77.0,38.87)
(-77.0001,38.87)
(-77.0002,38.87)
(-77.0003,38.87)
(-77.0004,38.87)
(-77.0005,38.87)
(-77.0006,38.87)
(-77.0007,38.87)
(-77.0008,38.87)
(-77.0009,38.87)
(-77.001,38.87)
(-77.0011,38.87)
(-77.0012,38.87)
(-77.0013,38.87)
(-77.0014,38.87)
(-77.0015,38.87)
(-77.0016,38.87)
(-77.0017,38.87)
(-77.0018,38.87)
(-77.0019,38.87)
(-77.002,38.87)
(-77.0021,38.87)
(-77.0022,38.87)
(-77.0023,38.87)
(-77.0024,38.87)
(-77.0025,38.87)
(-77.0026,38.87)
(-77.0027,38.87)
(-77.0028,38.87)
(-77.0029,38.87)
(-77.003,38.87)
(-77.0031,38.87)
(-77.0032,38.87)
(-77.0033,38.87)
(-77.0034,38.87)
(-77.0035,38.87)
(-77.0036,38.87)
(-77.0037,38.87)
(-77.0038,38.87)
(-77.0039,38.87)
(-77.004,38.87)
(-77.0041,38.87)
(-77.0042,38.87)
(-77.0043,38.87)
(-77.0044,38.87)
(-77.0045,38.87)
(-77.0046,38.87)
(-77.0047,38.87)
(-77.0048,38.87)
(-77.0049,38.87)
(-77.005,38.87)
(-77.0051,38.87)
(-77.0052,38.87)
(-77.0053,38.87)
(-77.0054,38.87)
(-77.0055,38.87)
(-77.0056,38.87)
(-77.0057,38.87)
(-77.0058,38.87)
(-77.0059,38.87)
(-77.006,38.87)
(-77.0061,38.87)
(-77.0062,38.87)
(-77.0063,38.87)
(-77.0064,38.87)
(-77.0065,38.87)
(-77.0066,38.87)
(-77.0067,38.87)
(-77.0068,38.87)
(-77.0069,38.87)
(-77.007,38.87)
(-77.0071,38.87)
(-77.0072,38.87)
(-77.0073,38.87)
(-77.0074,38.87)
(-77.0075,38.87)
(-77.0076,38.87)
(-77.0077,38.87)
(-77.0078,38.87)
(-77.0079,38.87)
(-77.008,38.87)
(-77.0081,38.87)
(-77.0082,38.87)
(-77.0083,38.87)
(-77.0084,38.87)
(-77.0085,38.87)
(-77.0086,38.87)
(-77.0087,38.87)
(-77.0088,38.87)
(-77.0089,38.87)
(-77.009,38.87)
(-77.0091,38.87)
(-77.0092,38.87)
(-77.0093,38.87)
(-77.0094,38.87)
(-77.0095,38.87)
(-77.0096,38.87)
(-77.0097,38.87)
(-77.0098,38.87)
(-77.0099,38.87)
(-77.01,38.87)
(-77.0101,38.87)
(-77.0102,38.87)
(-77.0103,38.87)
(-77.0104,38.87)
(-77.0105,38.87)
(-77.0106,38.87)
(-77.0106,38.8701)
(-77.0105,38.8701)
(-77.0104,38.8701)
(-77.0103,38.8701)
(-77.0102,38.8701)
(-77.0101,38.8701)
(-77.01,38.8701)
(-77.0099,38.8701)
(-77.0098,38.8701)
(-77.0097,38.8701)
(-77.0096,38.8701)
(-77.0095,38.8701)
(-77.0094,38.8701)
(-77.0093,38.8701)
(-77.0092,38.8701)
(-77.0091,38.8701)
(-77.009,38.8701)
(-77.0089,38.8701)
(-77.0088,38.8701)
(-77.0087,38.8701)
(-77.0086,38.8701)
(-77.0085,38.8701)
(-77.0084,38.8701)
(-77.0083,38.8701)
(-77.0082,38.8701)
(-77.0081,38.8701)
(-77.008,38.8701)
(-77.0079,38.8701)
(-77.0078,38.8701)
(-77.0077,38.8701)
(-77.0076,38.8701)
(-77.0075,38.8701)
(-77.0074,38.8701)
(-77.0073,38.8701)
(-77.0072,38.8701)
(-77.0071,38.8701)
(-77.007,38.8701)
(-77.0069,38.8701)
(-77.0068,38.8701)
(-77.0067,38.8701)
(-77.0066,38.8701)
(-77.0065,38.8701)
(-77.0064,38.8701)
(-77.0063,38.8701)
(-77.0062,38.8701)
(-77.0061,38.8701)
(-77.006,38.8701)
(-77.0059,38.8701)
(-77.0058,38.8701)
(-77.0057,38.8701)
(-77.0056,38.8701)
(-77.0055,38.8701)
(-77.0054,38.8701)
(-77.0053,38.8701)
(-77.0052,38.8701)
(-77.0051,38.8701)
(-77.005,38.8701)
(-77.0049,38.8701)
(-77.0048,38.8701)
(-77.0047,38.8701)
(-77.0046,38.8701)
(-77.0045,38.8701)
(-77.0044,38.8701)
(-77.0043,38.8701)
(-77.0042,38.8701)
(-77.0041,38.8701)
(-77.004,38.8701)
(-77.0039,38.8701)
(-77.0038,38.8701)
(-77.0037,38.8701)
(-77.0036,38.8701)
(-77.0035,38.8701)
(-77.0034,38.8701)
(-77.0033,38.8701)
(-77.0032,38.8701)
(-77.0031,38.8701)
(-77.003,38.8701)
(-77.0029,38.8701)
(-77.0028,38.8701)
(-77.0027,38.8701)
(-77.0026,38.8701)
(-77.0025,38.8701)
(-77.0024,38.8701)
(-77.0023,38.8701)
(-77.0022,38.8701)
(-77.0021,38.8701)
(-77.002,38.8701)
(-77.0019,38.8701)
(-77.0018,38.8701)
(-77.0017,38.8701)
(-77.0016,38.8701)
(-77.0015,38.8701)
(-77.0014,38.8701)
(-77.0013,38.8701)
(-77.0012,38.8701)
(-77.0011,38.8701)
(-77.001,38.8701)
(-77.0009,38.8701)
(-77.0008,38.8701)
(-77.0007,38.8701)
(-77.0006,38.8701)
(-77.0005,38.8701)
(-77.0004,38.8701)
(-77.0003,38.8701)
(-77.0002,38.8701)
(-77.0001,38.8701)
(-77.0,38.8701)
(-76.9999,38.8701)
(-76.9998,38.8701)
(-76.9997,38.8701)
(-76.9996,38.8701)
(-76.9995,38.8701)
(-76.9994,38.8701)
(-76.9993,38.8701)
(-76.9992,38.8701)
(-76.9991,38.8701)
(-76.999,38.8701)
(-76.9989,38.8701)
(-76.9989,38.8702)
(-76.999,38.8702)
(-76.9991,38.8702)
(-76.9992,38.8702)
(-76.9993,38.8702)
(-76.9994,38.8702)
(-76.9995,38.8702)
(-76.9996,38.8702)
(-76.9997,38.8702)
(-76.9998,38.8702)
(-76.9999,38.8702)
(-77.0,38.8702)
(-77.0001,38.8702)
(-77.0002,38.8702)
(-77.0003,38.8702)
(-77.0004,38.8702)
(-77.0005,38.8702)
(-77.0006,38.8702)
(-77.0007,38.8702)
(-77.0008,38.8702)
(-77.0009,38.8702)
(-77.001,38.8702)
(-77.0011,38.8702)
(-77.0012,38.8702)
(-77.0013,38.8702)
(-77.0014,38.8702)
(-77.0015,38.8702)
(-77.0016,38.8702)
(-77.0017,38.8702)
(-77.0018,38.8702)
(-77.0019,38.8702)
(-77.002,38.8702)
(-77.0021,38.8702)
(-77.0022,38.8702)
(-77.0023,38.8702)
(-77.0024,38.8702)
(-77.0025,38.8702)
(-77.0026,38.8702)
(-77.0027,38.8702)
(-77.0028,38.8702)
(-77.0029,38.8702)
(-77.003,38.8702)
(-77.0031,38.8702)
(-77.0032,38.8702)
(-77.0033,38.8702)
(-77.0034,38.8702)
(-77.0035,38.8702)
(-77.0036,38.8702)
(-77.0037,38.8702)
(-77.0038,38.8702)
(-77.0039,38.8702)
(-77.004,38.8702)
(-77.0041,38.8702)
(-77.0042,38.8702)
(-77.0043,38.8702)
(-77.0044,38.8702)
(-77.0045,38.8702)
(-77.0046,38.8702)
(-77.0047,38.8702)
(-77.0048,38.8702)
(-77.0049,38.8702)
(-77.005,38.8702)
(-77.0051,38.8702)
(-77.0052,38.8702)
(-77.0053,38.8702)
(-77.0054,38.8702)
(-77.0055,38.8702)
(-77.0056,38.8702)
(-77.0057,38.8702)
(-77.0058,38.8702)
(-77.0059,38.8702)
(-77.006,38.8702)
(-77.0061,38.8702)
(-77.0062,38.8702)
(-77.0063,38.8702)
(-77.0064,38.8702)
(-77.0065,38.8702)
(-77.0066,38.8702)
(-77.0067,38.8702)
(-77.0068,38.8702)
(-77.0069,38.8702)
(-77.007,38.8702)
(-77.0071,38.8702)
(-77.0072,38.8702)
(-77.0073,38.8702)
(-77.0074,38.8702)
(-77.0075,38.8702)
(-77.0076,38.8702)
(-77.0077,38.8702)
(-77.0078,38.8702)
(-77.0079,38.8702)
(-77.008,38.8702)
(-77.0081,38.8702)
(-77.0082,38.8702)
(-77.0083,38.8702)
(-77.0084,38.8702)
(-77.0085,38.8702)
(-77.0086,38.8702)
(-77.0087,38.8702)
(-77.0088,38.8702)
(-77.0089,38.8702)
(-77.009,38.8702)
(-77.0091,38.8702)
(-77.0092,38.8702)
(-77.0093,38.8702)
(-77.0094,38.8702)
(-77.0095,38.8702)
(-77.0096,38.8702)
(-77.0097,38.8702)
(-77.0098,38.8702)
(-77.0099,38.8702)
(-77.01,38.8702)
(-77.0101,38.8702)
(-77.0102,38.8702)
(-77.0103,38.8702)
(-77.0104,38.8702)
(-77.0105,38.8702)
(-77.0106,38.8702)
(-77.0106,38.8703)
(-77.0105,38.8703)
(-77.0104,38.8703)
(-77.0103,38.8703)
(-77.0102,38.8703)
(-77.0101,38.8703)
(-77.01,38.8703)
(-77.0099,38.8703)
(-77.0098,38.8703)
(-77.0097,38.8703)
(-77.0096,38.8703)
(-77.0095,38.8703)
(-77.0094,38.8703)
(-77.0093,38.8703)
(-77.0092,38.8703)
(-77.0091,38.8703)
(-77.009,38.8703)
(-77.0089,38.8703)
(-77.0088,38.8703)
(-77.0087,38.8703)
(-77.0086,38.8703)
(-77.0085,38.8703)
(-77.0084,38.8703)
(-77.0083,38.8703)
(-77.0082,38.8703)
(-77.0081,38.8703)
(-77.008,38.8703)
(-77.0079,38.8703)
(-77.0078,38.8703)
(-77.0077,38.8703)
(-77.0076,38.8703)
(-77.0075,38.8703)
(-77.0074,38.8703)
(-77.0073,38.8703)
(-77.0072,38.8703)
(-77.0071,38.8703)
(-77.007,38.8703)
(-77.0069,38.8703)
(-77.0068,38.8703)
(-77.0067,38.8703)
(-77.0066,38.8703)
(-77.0065,38.8703)
(-77.0064,38.8703)
(-77.0063,38.8703)
(-77.0062,38.8703)
(-77.0061,38.8703)
(-77.006,38.8703)
(-77.0059,38.8703)
(-77.0058,38.8703)
(-77.0057,38.8703)
(-77.0056,38.8703)
(-77.0055,38.8703)
(-77.0054,38.8703)
(-77.0053,38.8703)
(-77.0052,38.8703)
(-77.0051,38.8703)
(-77.005,38.8703)
(-77.0049,38.8703)
(-77.0048,38.8703)
(-77.0047,38.8703)
(-77.0046,38.8703)
(-77.0045,38.8703)
(-77.0044,38.8703)
(-77.0043,38.8703)
(-77.0042,38.8703)
(-77.0041,38.8703)
(-77.004,38.8703)
(-77.0039,38.8703)
(-77.0038,38.8703)
(-77.0037,38.8703)
(-77.0036,38.8703)
(-77.0035,38.8703)
(-77.0034,38.8703)
(-77.0033,38.8703)
(-77.0032,38.8703)
(-77.0031,38.8703)
(-77.003,38.8703)
(-77.0029,38.8703)
(-77.0028,38.8703)
(-77.0027,38.8703)
(-77.0026,38.8703)
(-77.0025,38.8703)
(-77.0024,38.8703)
(-77.0023,38.8703)
(-77.0022,38.8703)
(-77.0021,38.8703)
(-77.002,38.8703)
(-77.0019,38.8703)
(-77.0018,38.8703)
(-77.0017,38.8703)
(-77.0016,38.8703)
(-77.0015,38.8703)
(-77.0014,38.8703)
(-77.0013,38.8703)
(-77.0012,38.8703)
(-77.0011,38.8703)
(-77.001,38.8703)
(-77.0009,38.8703)
(-77.0008,38.8703)
(-77.0007,38.8703)
(-77.0006,38.8703)
(-77.0005,38.8703)
(-77.0004,38.8703)
(-77.0003,38.8703)
(-77.0002,38.8703)
(-77.0001,38.8703)
(-77.0,38.8703)
(-76.9999,38.8703)
(-76.9998,38.8703)
(-76.9997,38.8703)
(-76.9996,38.8703)
(-76.9995,38.8703)
(-76.9994,38.8703)
(-76.9993,38.8703)
(-76.9992,38.8703)
(-76.9991,38.8703)
(-76.999,38.8703)
(-76.9989,38.8703)
(-76.9988,38.8703)
(-76.9988,38.8704)
(-76.9989,38.8704)
(-76.999,38.8704)
(-76.9991,38.8704)
(-76.9992,38.8704)
(-76.9993,38.8704)
(-76.9994,38.8704)
(-76.9995,38.8704)
(-76.9996,38.8704)
(-76.9997,38.8704)
(-76.9998,38.8704)
(-76.9999,38.8704)
(-77.0,38.8704)
(-77.0001,38.8704)
(-77.0002,38.8704)
(-77.0003,38.8704)
(-77.0004,38.8704)
(-77.0005,38.8704)
(-77.0006,38.8704)
(-77.0007,38.8704)
(-77.0008,38.8704)
(-77.0009,38.8704)
(-77.001,38.8704)
(-77.0011,38.8704)
(-77.0012,38.8704)
(-77.0013,38.8704)
(-77.0014,38.8704)
(-77.0015,38.8704)
(-77.0016,38.8704)
(-77.0017,38.8704)
(-77.0018,38.8704)
(-77.0019,38.8704)
(-77.002,38.8704)
(-77.0021,38.8704)
(-77.0022,38.8704)
(-77.0023,38.8704)
(-77.0024,38.8704)
(-77.0025,38.8704)
(-77.0026,38.8704)
(-77.0027,38.8704)
(-77.0028,38.8704)
(-77.0029,38.8704)
(-77.003,38.8704)
(-77.0031,38.8704)
(-77.0032,38.8704)
(-77.0033,38.8704)
(-77.0034,38.8704)
(-77.0035,38.8704)
(-77.0036,38.8704)
(-77.0037,38.8704)
(-77.0038,38.8704)
(-77.0039,38.8704)
(-77.004,38.8704)
(-77.0041,38.8704)
(-77.0042,38.8704)
(-77.0043,38.8704)
(-77.0044,38.8704)
(-77.0045,38.8704)
(-77.0046,38.8704)
(-77.0047,38.8704)
(-77.0048,38.8704)
(-77.0049,38.8704)
(-77.005,38.8704)
(-77.0051,38.8704)
(-77.0052,38.8704)
(-77.0053,38.8704)
(-77.0054,38.8704)
(-77.0055,38.8704)
(-77.0056,38.8704)
(-77.0057,38.8704)
(-77.0058,38.8704)
(-77.0059,38.8704)
(-77.006,38.8704)
(-77.0061,38.8704)
(-77.0062,38.8704)
(-77.0063,38.8704)
(-77.0064,38.8704)
